0.67 0.265651 0.469512 -1.85285 0.227175 1.1763 -1.53389 0.236742 -1.09061 1.42934 -0.114113 -0.362058 1.39072
0.68 0.268904 0.42241 -1.81194 0.228549 1.16674 -1.51388 0.234704 -1.11084 1.48367 -0.123812 -0.349082 1.35615
0.69 0.270405 0.376333 -1.76347 0.227353 1.15696 -1.49183 0.229355 -1.12865 1.53552 -0.134769 -0.328706 1.31574
0.7 0.269832 0.331125 -1.70766 0.223262 1.14711 -1.46785 0.220251 -1.1438 1.58465 -0.148371 -0.313775 1.28326
0.74 0.241312 0.194528 -1.46248 0.180934 1.10708 -1.35627 0.150169 -1.18176 1.75648 -0.200314 -0.320488 1.24214
0.78 0.199866 0.149336 -1.31191 0.121174 1.06385 -1.23575 0.0467267 -1.18486 1.87471 -0.225445 -0.413499 1.28657
0.82 0.169447 0.21231 -1.3909 0.0769856 1.00573 -1.11679 -0.0454487 -1.18109 1.94896 -0.19577 -0.543042 1.3098
0.87 0.144895 0.28191 -1.58068 0.0543022 0.931276 -0.999179 -0.114318 -1.17421 1.97884 -0.0986188 -0.690111 1.24463
0.91 0.11143 0.326537 -1.74644 0.0376411 0.872525 -0.905503 -0.151276 -1.15687 1.97054 -0.0170631 -0.764711 1.1377
0.92 0.0987662 0.33535 -1.78485 0.0324389 0.8601 -0.883166 -0.159509 -1.14966 1.96552 0.00407866 -0.780306 1.10666
0.93 0.0845785 0.344442 -1.82193 0.0267905 0.848436 -0.860546 -0.167386 -1.1411 1.95962 0.0251989 -0.798248 1.0815
0.97 0.0197317 0.388449 -1.95332 0.00119144 0.805624 -0.756592 -0.198105 -1.08764 1.92577 0.0970552 -0.862025 0.993541
1.01 -0.053631 0.464047 -2.03587 -0.023789 0.81389 -0.749149 -0.218476 -1.01013 1.89041 0.153684 -0.901659 0.943356
1.06 -0.110172 0.600689 -2.06016 -0.0451718 0.965041 -1.12623 -0.231709 -0.878922 1.83918 0.183869 -0.922006 0.983221
1.1 -0.149583 0.70303 -2.0377 -0.0589245 1.06026 -1.48976 -0.229308 -0.763368 1.77336 0.168012 -0.902308 1.07195
1.11 -0.159938 0.724427 -2.02924 -0.0616888 1.07002 -1.57367 -0.226441 -0.73508 1.75118 0.163304 -0.895538 1.09316
1.12 -0.17037 0.744112 -2.02003 -0.064021 1.07243 -1.65225 -0.222814 -0.70729 1.72689 0.158866 -0.888558 1.11339
1.16 -0.212559 0.801885 -1.96986 -0.064432 0.999054 -1.88505 -0.204659 -0.600312 1.62053 0.144083 -0.865479 1.19907
1.19 -0.230653 0.841706 -1.91862 -0.0483077 0.858563 -1.94161 -0.191343 -0.52316 1.54964 0.139158 -0.845379 1.26691
1.2 -0.233739 0.854489 -1.89778 -0.0386227 0.79495 -1.9347 -0.187453 -0.49782 1.53169 0.138896 -0.839406 1.29412
1.24 -0.231699 0.903326 -1.79369 0.0100961 0.510243 -1.776 -0.174516 -0.396965 1.49782 0.146161 -0.817028 1.42862
1.29 -0.206668 0.95008 -1.62577 0.0669529 0.202436 -1.36989 -0.154377 -0.303336 1.54856 0.176319 -0.774325 1.61843
1.33 -0.175408 0.971385 -1.47164 0.100135 0.0412002 -1.01442 -0.115707 -0.352063 1.71612 0.214383 -0.7272 1.76728
1.34 -0.165983 0.979572 -1.43909 0.106949 0.0215016 -0.948735 -0.101334 -0.381197 1.7654 0.225058 -0.713454 1.80153
1.35 -0.158506 0.981558 -1.40022 0.113128 0.0149651 -0.904068 -0.085069 -0.416459 1.81387 0.235779 -0.699251 1.83425
1.39 -0.136194 0.984635 -1.26195 0.133953 0.0866309 -0.91545 -0.00545067 -0.60914 1.96405 0.273275 -0.642886 1.9467
1.43 -0.13336 0.987237 -1.17417 0.149416 0.184315 -1.06326 0.0627513 -0.8316 1.97729 0.284731 -0.601573 2.02397
1.48 -0.150552 1.0006 -1.12817 0.172128 0.296553 -1.32627 0.10079 -0.986693 1.7839 0.269009 -0.574679 2.17898
1.51 -0.166341 1.0097 -1.10894 0.19215 0.354287 -1.48192 0.107836 -1.00524 1.58227 0.212599 -0.547589 2.18682
1.53 -0.176771 1.0229 -1.10525 0.207753 0.390284 -1.57835 0.109419 -0.990761 1.42658 0.205494 -0.529105 2.16412
1.54 -0.182239 1.03027 -1.10433 0.21597 0.40755 -1.62436 0.109244 -0.976753 1.34451 0.197188 -0.52016 2.14297
1.58 -0.195582 1.05749 -1.14593 0.248732 0.47088 -1.79364 0.101466 -0.888888 1.00816 0.104645 -0.485769 2.03767
1.62 -0.180279 1.06348 -1.29741 0.273335 0.522143 -1.93722 0.0803173 -0.790301 0.731239 0.011112 -0.447108 1.93953
1.66 -0.133486 1.02972 -1.49825 0.273292 0.565934 -2.17838 0.0503989 -0.774671 0.702242 -0.078541 -0.413756 1.78301
1.71 -0.0158773 0.905102 -1.73246 0.355838 0.587219 -2.30311 0.0420662 -0.830587 0.823656 -0.135886 -0.344552 1.49377
1.74 0.0867337 0.796573 -1.84101 0.362567 0.606766 -2.32691 0.0596174 -0.886135 0.931784 -0.132377 -0.276858 1.27024
1.76 0.158611 0.701379 -1.87889 0.363489 0.628668 -2.31905 0.0727594 -0.925282 1.01279 -0.122845 -0.215812 1.10839
1.77 0.19395 0.647286 -1.88539 0.295994 0.632422 -2.30637 0.0778413 -0.94413 1.05535 -0.118201 -0.180677 1.0267
1.81 0.300156 0.422498 -1.8159 0.252684 0.698516 -2.06287 0.0727694 -1.00551 1.23952 -0.11928 -0.0236915 0.7422
1.85 0.309811 0.251198 -1.64263 0.145982 0.785219 -1.94429 0.0193361 -1.0376 1.44827 -0.165941 0.0908897 0.651625
